slurm-3473693.out:Memory, Processes, 16, Rank, 11, vMem, 1047212 KB, pMem, 640208 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 12, vMem, 1047532 KB, pMem, 640524 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 14, vMem, 1047484 KB, pMem, 640472 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 15, vMem, 1047276 KB, pMem, 640344 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 13, vMem, 1048628 KB, pMem, 641436 KB
slurm-3473694.out:Memory, Processes, 4, Rank, 0, vMem, 2627936 KB, pMem, 2255772 KB
slurm-3473694.out:Memory, Processes, 4, Rank, 1, vMem, 2626072 KB, pMem, 2253928 KB
slurm-3473694.out:Memory, Processes, 4, Rank, 2, vMem, 2626672 KB, pMem, 2254556 KB
slurm-3473694.out:Memory, Processes, 4, Rank, 3, vMem, 2622368 KB, pMem, 2250212 KB
slurm-3473695.out:Memory, Processes, 8, Rank, 1, vMem, 1564792 KB, pMem, 1182376 KB
slurm-3473695.out:Memory, Processes, 8, Rank, 3, vMem, 1563616 KB, pMem, 1181304 KB
slurm-3473695.out:Memory, Processes, 8, Rank, 5, vMem, 1563440 KB, pMem, 1181100 KB
